studyID	BIOENTITY		term	iri		
MTBLS77	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS79	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS81	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS83	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS84	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS85	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS86	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS87	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS88	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS89	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS90	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS91	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS92	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS93	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS94	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS95	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS96	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS97	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS98	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
