studyID	target	untargeted	un-mapped	Targeted	Un-mapped	Untargeted
MTBLS493				3.0	1.0	1.0
MTBLS494				3.0		1.0
MTBLS495				5.0		1.0
MTBLS496				3.0	1.0	1.0
MTBLS497				6.0		1.0
MTBLS516				4.0		1.0
MTBLS517				3.0	1.0	1.0
MTBLS518				3.0	1.0	1.0
MTBLS519				4.0		1.0
MTBLS520					4.0	1.0
MTBLS522				2.0	1.0	1.0
MTBLS523				5.0		1.0
MTBLS524				3.0		1.0
MTBLS525				1.0		1.0
MTBLS526				2.0		1.0
MTBLS527				5.0		1.0
MTBLS528				3.0		1.0
MTBLS530				2.0		1.0
MTBLS531				6.0	1.0	
MTBLS532				4.0		1.0
MTBLS535				3.0	1.0	1.0
MTBLS536				2.0	2.0	1.0
MTBLS538				7.0		1.0
MTBLS539				8.0	1.0	1.0
MTBLS540				1.0	1.0	1.0
MTBLS541				5.0		1.0
MTBLS542				2.0	2.0	1.0
MTBLS543				5.0		1.0
MTBLS545				5.0		1.0
MTBLS546				5.0	1.0	
MTBLS547				5.0	1.0	
MTBLS548				5.0	1.0	
MTBLS549				3.0	1.0	1.0
MTBLS552				3.0	1.0	1.0
MTBLS553				3.0	3.0	1.0
MTBLS554				4.0	1.0	
MTBLS555				1.0	2.0	1.0
MTBLS558				2.0		1.0
MTBLS559				6.0	2.0	1.0
MTBLS560				4.0	1.0	1.0
MTBLS561				4.0	1.0	
MTBLS562				5.0		1.0
MTBLS564				5.0		1.0
MTBLS566				1.0	2.0	
MTBLS567				1.0	1.0	
MTBLS570				3.0		1.0
MTBLS571				3.0	1.0	1.0
MTBLS572				3.0		1.0
MTBLS573				4.0	1.0	1.0
MTBLS574				4.0		1.0
MTBLS575				3.0	1.0	1.0
MTBLS576				1.0	4.0	1.0
MTBLS577				5.0	2.0	1.0
MTBLS578				5.0		1.0
MTBLS579				8.0		1.0
MTBLS581				9.0		1.0
MTBLS582				6.0		1.0
MTBLS591				4.0	2.0	1.0
MTBLS597				5.0	1.0	1.0
MTBLS598				4.0	1.0	1.0
MTBLS602				5.0		1.0
MTBLS614				3.0		1.0
MTBLS616				2.0	1.0	1.0
MTBLS618				5.0		1.0
MTBLS619				4.0		1.0
MTBLS620				4.0	1.0	
MTBLS622				6.0		1.0
MTBLS626				6.0		1.0
MTBLS629				2.0		1.0
MTBLS630				3.0	1.0	1.0
MTBLS631				3.0		1.0
MTBLS633				2.0		1.0
MTBLS634				2.0		1.0
MTBLS640				3.0	1.0	
MTBLS641				4.0	2.0	
MTBLS643				7.0		1.0
MTBLS648				5.0		
MTBLS654				5.0	3.0	
MTBLS656				4.0	1.0	
MTBLS658				2.0		1.0
MTBLS661				5.0	2.0	
MTBLS664				3.0	2.0	1.0
MTBLS665				2.0	1.0	1.0
MTBLS667				2.0		1.0
MTBLS669				5.0		1.0
MTBLS672				5.0	1.0	1.0
MTBLS673				4.0	1.0	1.0
MTBLS674				3.0	4.0	
MTBLS687				5.0	1.0	1.0
MTBLS690				1.0	1.0	
MTBLS691				3.0	2.0	
MTBLS693				6.0		
MTBLS694				3.0	1.0	1.0
MTBLS696				5.0	1.0	1.0
MTBLS698				2.0		1.0
MTBLS699				1.0	1.0	1.0
MTBLS703				3.0		1.0
MTBLS706				9.0	1.0	
MTBLS708				3.0		1.0
MTBLS720				4.0	2.0	1.0
MTBLS723				6.0		1.0
MTBLS724				3.0		1.0
MTBLS737				2.0		1.0
MTBLS750				4.0	1.0	
MTBLS751				4.0		
MTBLS752				5.0		1.0
MTBLS754				5.0		1.0
MTBLS756				2.0		1.0
MTBLS757				3.0		1.0
MTBLS761				2.0		1.0
MTBLS762				4.0		1.0
MTBLS763				5.0	2.0	1.0
MTBLS767				6.0		1.0
MTBLS769				4.0	1.0	1.0
MTBLS770				3.0		1.0
MTBLS771				4.0		1.0
MTBLS772				4.0		1.0
MTBLS773				9.0		1.0
MTBLS780				2.0	3.0	
MTBLS788				2.0		1.0
MTBLS789				3.0		1.0
MTBLS793				5.0		1.0
MTBLS803				2.0		1.0
MTBLS821				3.0	2.0	
MTBLS822				3.0	2.0	
MTBLS824				3.0	2.0	
MTBLS826				3.0		1.0
MTBLS839				3.0		1.0
MTBLS843				3.0		1.0
MTBLS844				3.0		1.0
MTBLS848				3.0		1.0
MTBLS849				3.0		1.0
