studyID	term	iri
MTBLS208	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS209	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS210	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS211	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS212	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS213	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS214	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS215	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS216	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS217	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS218	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS219	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS220	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS221	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS222	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS223	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS224	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS225	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS226	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS227	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS228	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS229	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS230	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS231	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS232	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS233	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS234	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS235	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS236	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS237	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS238	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS239	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS240	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS241	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS242	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS243	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS244	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS245	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS246	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS247	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS248	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS249	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS250	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS253	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS255	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS256	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS257	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS259	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS260	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS261	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS263	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS264	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS265	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS266	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS267	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS268	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS269	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS270	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS271	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS272	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS273	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS274	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS275	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS276	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS277	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS278	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS279	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS280	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS281	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS282	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS283	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS284	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS285	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS286	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS287	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS288	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS289	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS290	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS291	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS292	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS293	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS294		
MTBLS295	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS296	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS297	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS298	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS299	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS300	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS301	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS302	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS303	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS304	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS305		
MTBLS306	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS307	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS308	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS309	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS310	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS311	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS312	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS313	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS314	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS315	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS316	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS317	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS318	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS319	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS320	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS321	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS322	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS323	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS325	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS326	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS327	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS328	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS329		
MTBLS330	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS331	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS332	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS333	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS334	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS335	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS336	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS336	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS337	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS338	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS339	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS340	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS341	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS342	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS343	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS344	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS345	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS346	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS347	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS348		
MTBLS349	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS350	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS351	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS352	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS353	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS353	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS354	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS355	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS356	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS357		
MTBLS358	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS359	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS360	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS361	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623
MTBLS362	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
MTBLS363	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470
