MTBLS ID	Study Type
MTBLS234	LC-QTOF-MS
MTBLS235	LC-MS simulation
MTBLS237	NMR
MTBLS240	NMR
MTBLS241	NMR
MTBLS242	NMR
MTBLS243	HPLC-TQ-MS/MS
MTBLS244	GC-Q-MS
MTBLS247	NMR
MTBLS249	NMR
MTBLS253	HPLC-TQ-MS
MTBLS256	NMR
MTBLS259	DI-FT-ICR-MS
MTBLS260	DI-FT-ICR-MS
MTBLS261	NMR
MTBLS263	HPLC-LTQ-MS
MTBLS264	HPLC-LTQ-MS
MTBLS265	HPLC-LTQ-MS
MTBLS266	HPLC-LTQ-MS
MTBLS267	HPLC-LTQ-MS
MTBLS269	HPLC-LTQ-MS
MTBLS270	HPLC-QTOF-MS
MTBLS272	UPLC-QTOF-MS/MS
MTBLS273	3D DESI imaging MS
MTBLS274	UPLC-QTOF-MS
MTBLS275	NMR
MTBLS276	UPLC-LTQ-MS/MS
MTBLS277	HPLC-LTQ-MS
MTBLS278	UPLC-TQ-MS/MS
MTBLS279	UPLC-QTOF-MS
MTBLS280	UPLC-QTOF-MS
MTBLS281	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS
MTBLS282	3D DESI imaging MS
MTBLS283	GC-Q-MS;UPLC-TQ-MS/MS
MTBLS286	UPLC-QTOF-MS
MTBLS287	UPLC-QTOF-MS
MTBLS288	GC-Q-MS
MTBLS289	3D DESI imaging MS
MTBLS290	HPLC-LTQ-MS/MS
MTBLS291	UPLC-TOF-MS
MTBLS292	UPLC-TQ-MS
MTBLS293	LC-FT-ICR-MS;LC-LTQ-FT-MS/MS;LC-TQ-MS
MTBLS295	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS
MTBLS296	UPLC-QTOF-MS/MS
MTBLS297	UPLC-QTOF-MS
MTBLS298	GCxGC-TOF-MS
MTBLS303	UPLC-TQ-MS/MS
MTBLS304	UPLC-QTOF-MS
MTBLS306	HPLC-LTQ-MS/MS
MTBLS307	LC-LTQ-MS/MS
MTBLS309	HPLC-LTQ-MS/MS;GC-TQ-MS;GC-Q-MS
MTBLS311	HPLC-LTQ-MS/MS;GC-TQ-MS
MTBLS312	HPLC-LTQ-MS/MS;GC-TQ-MS;UPLC-QTOF-MS
MTBLS313	3D MALDI imaging MS
MTBLS315	GC-TOF-MS;UPLC-LTQ-MS;LC-QTOF-MS
MTBLS316	HPLC-LTQ-MS/MS
MTBLS317	3D MALDI imaging MS simulation
MTBLS319	GC-TOF-MS
MTBLS320	GC-TOF-MS
MTBLS321	GC-QTOF-MS
MTBLS322	UPLC-QTOF-MS/MS
MTBLS323	DI-LTQ-MS/MS
MTBLS326	NMR
MTBLS327	DI-LTQ-MS
MTBLS328	GC-Q-MS
MTBLS330	UPLC-QTOF-MS
MTBLS331	NMR
MTBLS332	GC-Q-MS
MTBLS333	UPLC-QTOF-MS
