ID	Target	Untarget
MTBLS560	0	1
MTBLS561	1	0
MTBLS562	0	1
MTBLS564	0	1
MTBLS566	1	0
MTBLS567	1	0
MTBLS570	0	2
MTBLS571	0	1
MTBLS572	0	1
MTBLS573	0	1
MTBLS574	0	1
MTBLS575	0	1
MTBLS576	0	1
MTBLS577	0	1
MTBLS578	0	1
MTBLS579	0	1
MTBLS581	0	1
MTBLS582	0	1
MTBLS591	0	1
MTBLS597	1	1
MTBLS598	1	1
MTBLS602	0	1
MTBLS614	0	1
MTBLS616	0	1
MTBLS618	0	1
MTBLS619	0	1
MTBLS620	1	0
MTBLS622	0	1
MTBLS626	0	1
MTBLS629	0	1
MTBLS630	0	1
MTBLS631	0	1
MTBLS633	0	1
MTBLS634	0	1
MTBLS640	1	0
MTBLS641	1	0
MTBLS643	0	1
MTBLS648	0	0
MTBLS650	0	1
MTBLS652	0	0
MTBLS654	1	0
MTBLS656	1	0
MTBLS658	0	1
MTBLS661	1	0
MTBLS664	1	1
MTBLS665	0	1
MTBLS667	0	1
MTBLS669	0	1
MTBLS672	0	1
MTBLS673	0	1
MTBLS674	1	0
MTBLS675	0	1
MTBLS687	0	1
MTBLS690	0	0
MTBLS691	1	0
MTBLS693	0	0
MTBLS694	0	1
MTBLS696	0	1
MTBLS698	0	1
MTBLS699	0	1
MTBLS703	0	1
MTBLS706	1	0
MTBLS708	0	1
MTBLS720	0	1
MTBLS723	0	1
MTBLS724	0	1
MTBLS737	0	1
MTBLS743	0	1
MTBLS750	1	0
MTBLS751	0	0
MTBLS752	0	1
MTBLS754	0	1
MTBLS756	0	1
MTBLS757	0	1
MTBLS761	0	1
MTBLS762	0	1
MTBLS763	0	1
MTBLS767	0	1
MTBLS769	0	1
MTBLS770	0	1
MTBLS771	0	1
MTBLS772	0	1
MTBLS773	0	1
MTBLS775	0	0
MTBLS780	0	0
MTBLS788	0	1
MTBLS789	0	1
MTBLS793	0	1
MTBLS803	0	1
MTBLS821	0	0
MTBLS822	0	0
MTBLS824	0	0
MTBLS826	0	1
MTBLS836	1	0
MTBLS839	0	1
MTBLS842	0	1
MTBLS843	0	1
MTBLS844	0	1
MTBLS848	0	1
MTBLS849	0	1
MTBLS867	0	1
MTBLS869	0	1
