studyID	organismPart
MTBLS324	plasma
MTBLS324	not applicable
MTBLS324	plasma
MTBLS325	erythrocyte
MTBLS326	blood serum
MTBLS327	blood plasma
MTBLS328	whole organism
MTBLS328	CACO-2 cell
MTBLS329	
MTBLS330	whole plant
MTBLS330	whole plant
MTBLS330	bud
MTBLS330	flower bud
MTBLS330	whole plant
MTBLS330	whole plant
MTBLS331	stigma
MTBLS332	leaf
MTBLS333	fruit
MTBLS334	blood plasma
MTBLS335	anther
MTBLS336	foot
MTBLS336	whole body
MTBLS336	whole body
MTBLS336	blank
MTBLS336	whole body
MTBLS336	digestive gland
MTBLS336	whole body
MTBLS337	HCC-1937 cell
MTBLS338	root
MTBLS339	blood
MTBLS339	midgut
MTBLS340	blood plasma
MTBLS341	root
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS342	endometabolome
MTBLS343	leaf midvein
MTBLS344	minced meat
MTBLS344	minced meat
MTBLS344	minced meat
MTBLS345	mixture
MTBLS345	feces
MTBLS346	berry
MTBLS347	whole
MTBLS348	
MTBLS349	blood serum
MTBLS350	fruit
MTBLS351	blood serum
MTBLS352	blood plasma
MTBLS353	
MTBLS353	blood serum
MTBLS354	blood plasma
MTBLS355	rosette leaf
MTBLS356	blood serum
MTBLS357	
MTBLS358	blood serum
MTBLS359	endometabolome
MTBLS360	solvent
MTBLS360	bloodstream form
MTBLS361	kidney
MTBLS362	spermatophore/nuptial gift
MTBLS362	blank
MTBLS363	leaf
MTBLS363	rosette leaf
MTBLS364	blood serum
MTBLS365	
MTBLS366	exometabolome
MTBLS367	kidney
MTBLS368	blood plasma
MTBLS368	mixture
MTBLS368	blank
MTBLS368	heart
MTBLS369	feces
MTBLS370	culture supernatant
MTBLS370	culture supernatant
MTBLS370	Chemical
MTBLS370	intracellular part
MTBLS370	media
MTBLS370	Chemical
MTBLS370	fetal serum
MTBLS371	fruit
MTBLS372	leaf
MTBLS373	whole organism
MTBLS374	blood serum
MTBLS375	leaf
MTBLS376	feces
MTBLS377	Suf_FE1.1 
MTBLS378	brain
MTBLS379	brain
MTBLS380	brown adipose tissue
MTBLS381	mixture
MTBLS382	brown adipose tissue
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS383	whole organism
MTBLS384	blood serum
MTBLS385	esophagus
MTBLS386	Aqueous Humor
MTBLS387	MDA-MB-231 cell
MTBLS388	
MTBLS389	root
MTBLS390	white adipose tissue
MTBLS391	mixture
MTBLS392	berry
MTBLS393	whole organism
MTBLS394	mixture
MTBLS395	blood serum
MTBLS396	liver
MTBLS397	liver
MTBLS397	mixture
MTBLS398	mixture
MTBLS399	root
MTBLS400	liver
MTBLS401	MCF-10A cell
MTBLS402	urine
MTBLS403	leaf
MTBLS404	urine
MTBLS405	HeLa-SHMT2-shSHMT2 cell
MTBLS408	blood plasma
MTBLS409	whole organism
MTBLS409	Blank
MTBLS409	whole organism
MTBLS410	whole organism
MTBLS410	Blank
MTBLS411	liver
MTBLS412	HUVEC cell
MTBLS412	glycogen
MTBLS413	solvent
MTBLS413	cerebrospinal fluid
MTBLS413	pure substance
MTBLS414	blood plasma
MTBLS415	colorectal adenocarcinoma
MTBLS416	
MTBLS417	blood serum
MTBLS418	blood serum
MTBLS419	hepatoma cell
MTBLS420	seminal plasma
MTBLS421	BTO:saliva
MTBLS422	feces
MTBLS423	blood serum
MTBLS424	blood serum
MTBLS425	pluripotent stem cell-derived cardiomyocyte
MTBLS426	left ventricle
MTBLS427	urine
MTBLS428	exometabolome
MTBLS428	water
MTBLS429	rosette leaf
MTBLS430	MCF-7 cell
MTBLS431	whole organism
MTBLS432	urine
MTBLS433	Olive Oil
MTBLS434	whole organism
MTBLS434	mixture
MTBLS434	ethanol
MTBLS435	leaf
MTBLS436	liver
MTBLS436	mixture
MTBLS437	seed
MTBLS438	Spleen
MTBLS439	Macleaya cordata
MTBLS439	Macleaya cordata
MTBLS439	Macleaya cordata
MTBLS440	
MTBLS441	Exudate
MTBLS442	
MTBLS443	
MTBLS443	Leishmania infantum
MTBLS443	Leishmania mexicana
MTBLS444	Aqueous Humor
MTBLS445	rosette leaf
MTBLS446	
MTBLS447	callus
MTBLS448	Grain
MTBLS449	blood plasma
MTBLS450	leaf
MTBLS451	Sake
MTBLS452	bloodstream form
MTBLS452	solvent
MTBLS453	blood serum
MTBLS454	whole organism
MTBLS455	SH-SY5Y cell
MTBLS456	blood plasma
MTBLS457	liver
MTBLS458	blood serum
MTBLS459	bloodstream form
MTBLS460	juvenile leaf
MTBLS461	endometabolome
MTBLS462	liver
MTBLS462	mixture
MTBLS463	whole organism
MTBLS464	mixture
MTBLS464	blank
MTBLS464	EFO:whole organism
MTBLS465	blood serum
MTBLS466	
MTBLS467	
MTBLS468	
MTBLS469	urine
MTBLS470	blood serum
MTBLS471	thorax
MTBLS472	kidney
MTBLS473	urine
MTBLS474	
MTBLS475	blood plasma
MTBLS476	blood serum
MTBLS477	
MTBLS478	xylem
MTBLS479	mixture
MTBLS479	feces
MTBLS479	solvent
MTBLS480	liver
MTBLS481	root
MTBLS482	cerebral cortex
MTBLS483	cardiomyocyte cell line
MTBLS484	whole plant
MTBLS484	solvent
MTBLS484	whole plant
MTBLS484	whole plant
MTBLS485	
MTBLS486	
MTBLS487	brain
MTBLS488	urine
MTBLS489	
MTBLS490	
MTBLS491	blank
MTBLS492	exometabolome
MTBLS493	CHO-K1 cell
MTBLS494	root
MTBLS495	brain
MTBLS496	whole organism
MTBLS497	headspace
MTBLS497	headspace
MTBLS497	headspace
MTBLS497	headspace
MTBLS497	headspace
MTBLS497	headspace
MTBLS497	headspace
MTBLS498	
MTBLS499	
MTBLS501	
MTBLS503	
MTBLS505	
MTBLS506	
MTBLS507	
MTBLS508	
MTBLS509	
MTBLS510	
MTBLS511	
MTBLS512	
MTBLS513	
MTBLS514	
MTBLS515	
MTBLS516	brain
MTBLS517	blood plasma
MTBLS517	blood plasma
MTBLS518	blood plasma
MTBLS518	blood plasma
MTBLS519	leaf
MTBLS520	blank value
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS520	shoot system
MTBLS521	leaf
MTBLS522	liver
MTBLS523	larva
MTBLS524	saliva
MTBLS525	whole organism
MTBLS526	whole plant
MTBLS527	intestinal content
MTBLS528	flower
MTBLS529	leaf
MTBLS530	brain
MTBLS531	leaf
MTBLS532	whole organism
MTBLS533	epithelial cell
MTBLS534	
MTBLS535	whole organism
MTBLS535	whole organism
MTBLS536	blood plasma
MTBLS536	blood plasma
MTBLS537	blood plasma
MTBLS538	endometabolome
MTBLS538	endometabolome
MTBLS539	heart
MTBLS540	blood plasma
MTBLS541	SK-N-AS cell
MTBLS542	blood plasma
MTBLS542	blood plasma
MTBLS543	synovia
MTBLS544	shoot system
MTBLS544	shoot system
MTBLS544	shoot system
MTBLS544	shoot system
MTBLS545	cecal content
MTBLS546	cecal content
MTBLS547	cecal content
MTBLS548	cecal content
MTBLS549	blood
MTBLS550	leaf
MTBLS551	
MTBLS552	blood serum
MTBLS553	rosette leaf
MTBLS553	rosette leaf
MTBLS553	rosette leaf
MTBLS553	Recombinant Protein
MTBLS553	rosette leaf
MTBLS553	rosette leaf
MTBLS553	pure substance
MTBLS554	urine
MTBLS555	root
MTBLS556	
MTBLS557	odor
MTBLS558	blank
